Bubble Sort,Sorted list,1408,0.639863888423
Bubble Sort,Sorted rep. list,1408,1.07421032588
Insertion Sort,Random list,1408,0.257600307465
Insertion Sort,Repetitions list,1408,0.249510367711
Insertion Sort,Sorted list,1408,0.252908627192
Insertion Sort,Sorted rep. list,1408,0.249750057856
Qick Sort,Random list,1408,0.260973374049
Qick Sort,Repetitions list,1408,0.245757023493
Qick Sort,Sorted list,1408,0.260576327642
Qick Sort,Sorted rep. list,1408,0.24441297849
Qick Sort (RP),Random list,1408,0.174201329549
Qick Sort (RP),Repetitions list,1408,0.182989279429
Qick Sort (RP),Sorted list,1408,0.165887991587
Qick Sort (RP),Sorted rep. list,1408,0.197886625926
Bubble Sort,Random list,1536,0.769808928172
Bubble Sort,Repetitions list,1536,1.27891294161
Bubble Sort,Sorted list,1536,0.77001730601
Bubble Sort,Sorted rep. list,1536,1.27599438032
Insertion Sort,Random list,1536,0.302332083384
Insertion Sort,Repetitions list,1536,0.297674655914
Insertion Sort,Sorted list,1536,0.301832675934
Insertion Sort,Sorted rep. list,1536,0.297525723775
Qick Sort,Random list,1536,0.298246622086
Qick Sort,Repetitions list,1536,0.276589711507
Qick Sort,Sorted list,1536,0.300261338552
Qick Sort,Sorted rep. list,1536,0.275909344355
Qick Sort (RP),Random list,1536,0.213277975718
Qick Sort (RP),Repetitions list,1536,0.189344326655
Qick Sort (RP),Sorted list,1536,0.201665639877
Qick Sort (RP),Sorted rep. list,1536,0.186703364054
Bubble Sort,Random list,1664,0.90122961998
Bubble Sort,Repetitions list,1664,1.50954262416
Bubble Sort,Sorted list,1664,0.894147316615
Bubble Sort,Sorted rep. list,1664,1.50030660629
Insertion Sort,Random list,1664,0.354349692663
Insertion Sort,Repetitions list,1664,0.353825330734
Insertion Sort,Sorted list,1664,0.354250987371
Insertion Sort,Sorted rep. list,1664,0.348360697428
Qick Sort,Random list,1664,0.331842343012
Qick Sort,Repetitions list,1664,0.308586041133
Qick Sort,Sorted list,1664,0.329053322474
Qick Sort,Sorted rep. list,1664,0.30938021342
Qick Sort (RP),Random list,1664,0.255922714869
Qick Sort (RP),Repetitions list,1664,0.248003721237
Qick Sort (RP),Sorted list,1664,0.263674577077
Qick Sort (RP),Sorted rep. list,1664,0.236949125926
Bubble Sort,Random list,1792,1.04289507866
Bubble Sort,Repetitions list,1792,1.7397963206
Bubble Sort,Sorted list,1792,1.04376570384
Bubble Sort,Sorted rep. list,1792,1.73839569092
Insertion Sort,Random list,1792,0.41014289856
Insertion Sort,Repetitions list,1792,0.403986374537
Insertion Sort,Sorted list,1792,0.409648338954
Insertion Sort,Sorted rep. list,1792,0.403930743535
Qick Sort,Random list,1792,0.372350374858
Qick Sort,Repetitions list,1792,0.343391736348
Qick Sort,Sorted list,1792,0.369227250417
Qick Sort,Sorted rep. list,1792,0.341663916906
Qick Sort (RP),Random list,1792,0.287318388621
Qick Sort (RP),Repetitions list,1792,0.249021689097
Qick Sort (RP),Sorted list,1792,0.288014650345
Qick Sort (RP),Sorted rep. list,1792,0.286609252294
Bubble Sort,Random list,1920,1.21012075742
Bubble Sort,Repetitions list,1920,2.00374801954
Bubble Sort,Sorted list,1920,1.2043996652
Bubble Sort,Sorted rep. list,1920,2.0022037824
Insertion Sort,Random list,1920,0.47155102094
Insertion Sort,Repetitions list,1920,0.463189045588
Insertion Sort,Sorted list,1920,0.469751358032
Insertion Sort,Sorted rep. list,1920,0.464081684748
Qick Sort,Random list,1920,0.405855973562
Qick Sort,Repetitions list,1920,0.375502983729
Qick Sort,Sorted list,1920,0.403128067652
Qick Sort,Sorted rep. list,1920,0.375259717306
Qick Sort (RP),Random list,1920,0.29806192716
Qick Sort (RP),Repetitions list,1920,0.271423339844
Qick Sort (RP),Sorted list,1920,0.322230974833
Qick Sort (RP),Sorted rep. list,1920,0.28616698583
Bubble Sort,Random list,2048,1.37200307846
Bubble Sort,Repetitions list,2048,2.2809484005
Bubble Sort,Sorted list,2048,1.36755005519
Bubble Sort,Sorted rep. list,2048,2.27698802948
Insertion Sort,Random list,2048,0.535014073054
Insertion Sort,Repetitions list,2048,0.527664025625
Insertion Sort,Sorted list,2048,0.535221735636
Insertion Sort,Sorted rep. list,2048,0.528605620066
Qick Sort,Random list,2048,0.44467775027
Qick Sort,Repetitions list,2048,0.408278862635
Qick Sort,Sorted list,2048,0.442630688349
Qick Sort,Sorted rep. list,2048,0.410749276479
Qick Sort (RP),Random list,2048,0.328268051147
Qick Sort (RP),Repetitions list,2048,0.33801984787
Qick Sort (RP),Sorted list,2048,0.320285399755
Qick Sort (RP),Sorted rep. list,2048,0.30885831515
Bubble Sort,Random list,2176,1.55165600777
Bubble Sort,Repetitions list,2176,2.5759780407
Bubble Sort,Sorted list,2176,1.5452191035
Bubble Sort,Sorted rep. list,2176,2.57480637232
Insertion Sort,Random list,2176,0.605882883072
Insertion Sort,Repetitions list,2176,0.595453341802
Insertion Sort,Sorted list,2176,0.604227701823
Insertion Sort,Sorted rep. list,2176,0.594991525014
Qick Sort,Random list,2176,0.482770760854
Qick Sort,Repetitions list,2176,0.442237059275
Qick Sort,Sorted list,2176,0.480066935221
